Neologism,Explanation(English),Category,Mood,Channel,Age Group,Example Sentence,Background(English),Year,Whom to Use,Type,Language
Me dio cosa,Something made you feel weird or uncomfortable,Emotion,Negative,Messenger,All,Me dio cosa cuando vi el estado en que estaba el lugar.,"Used when something gives you discomfort, cringe, or unease. Popular in everyday speech, especially among young people. Used for both physical and emotional discomfort.",2003,Casual,Phrase,Spanish
Me late,I like it or I agree,Emotion,Positive,null,10s-40s,"Me late mucho esa idea, ¡hagámoslo!","Latir (to beat, like a heart). Means ""I like it"" or ""I'm into it."" Youth slang that spread through pop culture. Casual agreement.",1996,Casual,Phrase,Spanish
Estoy hasta la madre,I'm fed up or overwhelmed,Emotion,Negative,null,20s-50s,"Estoy hasta la madre de tanto trabajar, necesito un descanso.","Vulgar but common. Expresses being fed up. Popular in informal speech and music. Vulgar, very informal.",1991,Casual/Vulgar,Phrase,Spanish
Estoy bien sacado de onda,I'm confused or shocked,Emotion,Negative,null,10s-40s,Estoy bien sacado de onda por lo que pasó en la fiesta.,"Onda = vibe. Means feeling confused or shocked. Common among teens and young adults. ""Sacado de onda"" = thrown off.",1995,Casual,Phrase,Spanish
Ni de chiste,"No way, not even as a joke",Conversational,Negative,Messenger,All,Ni de chiste me voy a subir a esa montaña rusa.,"Means ""not even as a joke."" Used to strongly reject something. Common in casual speech. Common expression for strong ""no"".",2002,Casual/Vulgar,Phrase,Spanish
Ni modo,It can't be helped,Emotion,Neutral,null,All,"Ni modo, no hay nada que pueda hacer.",Expresses resignation or acceptance of a bad situation. Used across generations. Common phrase.,1963,Casual,Phrase,Spanish
X,Used to dismiss something as irrelevant,Social,Neutral,Twitter,10s-30s,"X, no me importa lo que digan.","Influenced by texting and Gen Z slang. Used to say something is boring, irrelevant, or indifferent. Popular on social media. Derived from texting culture.",2015,Casual,Word,Spanish
F,"Used to show respect or sadness, like 'paying respects'",Humor and Exaggerated,Negative,Twitch,10s-20s,F por lo que pasó!,"Internet slang from gaming culture (""Press F to pay respects""). Adopted into Spanish to express sympathy or failure. Adopted from gaming/meme culture.",2016,Casual,Word,Spanish
No manches,"No way, you're kidding",Conversational/Humor,Positive,null,All,"¡No manches, ¿de verdad?","Euphemism for ""no mames."" Expresses surprise, disbelief, or annoyance. Used widely in all age groups. Less vulgar version of 'no mames'.",1984,Casual,Phrase,Spanish
Qué rollo,What's up?,Social,Neutral,null,10s-30s,"¡Qué rollo, ¿cómo has estado?","Greeting similar to ""What's up?"" Comes from northern Mexican slang. Spread through music and pop culture. Common in northern Mexico.",1989,Casual,Phrase,Spanish
Estoy en la ruina,I'm broke,Economy,Negative,Messenger,20s-30s,¡Estoy en la ruina después de todo lo que gasté en vacaciones!,Means being broke. Casual way to express financial hardship. Popular among students and young adults. Used humorously.,2004,Casual,Phrase,Spanish
Chale,Expression of disappointment or disbelief,Emotion,Negative,null,All,"¡Chale, ya se me olvidó lo que iba a decir!","Exclamation of disappointment, surprise, or disapproval. Origin in urban Mexico City slang, often linked to cholo or barrio culture. Street slang, casual.",1975,Casual/Vulgar,Word,Spanish
Qué chafa,That's low quality or lame,Negative Experiences,Negative,null,All,¡Qué chafa que se canceló el evento!,"Chafa = low quality. Used to describe something cheap, disappointing, or fake. Widespread in casual speech. Used to describe poor quality.",1982,Casual,Phrase,Spanish
Me cayó gordo,I don’t like him/her,Emotion,Negative,null,All,Me cayó gordo lo que hizo mi compañero en clase.,"Means someone rubbed you the wrong way. Likely comes from associating ""gordo"" (fat) with discomfort or annoyance. Spread through casual speech. Literal: 'He/she fell fat on me'.",1977,Casual,Phrase,Spanish
Estoy bien paniqueado,I’m really scared or anxious,Emotion,Negative,Messenger,10s-30s,Estoy bien paniqueado por el examen que tengo mañana.,"From ""panic,"" Spanglish-style verb. Popularized through urban slang and anxiety-related conversations. Common in stressful situations.",2007,Casual,Phrase,Spanish
Está bien loco,That's crazy,Humor and Exaggerated,Positive,null,All,¡Está bien loco lo que está pasando en la serie!,"Describes something or someone as wild, extreme, or unbelievable. Became widespread in informal speech and media. Context defines if it's positive or negative.",1993,Casual,Phrase,Spanish
Se me fue el rollo,I forgot something,Emotion,Neutral,null,All,Se me fue el rollo cuando me interrumpieron en la charla.,Rollo = story/speech/flow. Means you forgot what you were doing or saying. Used often in youth speech. Slang for memory lapse.,1996,Casual,Phrase,Spanish
Me vale,I don't care,Emotion,Negative/Positive,null,10s-40s,"Me vale lo que digan los demás, yo voy a hacer lo que quiero.","Short for ""me vale madre"" — expresses indifference or defiance. Widespread in rebellious or carefree slang. Informal, may be rude depending on tone.",1994,Casual/Vulgar,Phrase,Spanish
Qué pedo,What's up / What's the problem?,Conversational,Negative,null,10s-40s,"¡Qué pedo, ¿dónde te habías metido?!","Literally ""what fart?"" but used like ""what's going on?"" or ""what the hell?"" Originates from northern Mexico, spread nationwide. Can be greeting or expression of surprise.",1992,Casual/Vulgar,Phrase,Spanish
Está de huevos,It's awesome,Positive Experiences,Positive,Messenger,10s-30s,"¡Esa película está de huevos, tienes que verla!","Vulgar, but can mean something is amazing or very good (context dependent). Popular among youth, especially in Mexico City. Vulgar tone, but often used positively.",2006,Casual/Vulgar,Phrase,Spanish
Es un desmadre,It’s a total mess,Negative Experiences,Negative,null,10s-40s,¡Es un desmadre todo lo que está pasando con mi proyecto!,"From ""madre"" in vulgar expressions. Means chaos or mess. Common in casual and frustrated tones. Vulgar slang.",1995,Casual/Vulgar,Phrase,Spanish
Es un desmadre,Chaotic but fun ,Positive Experiences,Positive,null,10s-40s,¡La fiesta de anoche fue un desmadre!,"From ""madre"" in vulgar expressions. Means chaos or mess. Originally negative, but also used positively in fun contexts. Vulgar but not offensive in this context.",1995,Casual/Vulgar,Phrase,Spanish
Ser bien banda,To be humble and nice,Social,Positive,Messenger,20s-40s,"Él es bien banda, siempre nos ayuda cuando lo necesitamos.","Banda refers to your crew. Saying someone ""es bien banda"" means they're cool, loyal, or down-to-earth. Popular in urban youth culture. Means you're a good part of the crew.",2009,Casual,Phrase,Spanish
Estar en la depre,Feeling depressed,Emotion,Negative,Messenger,10s-30s,Estoy en la depre porque no he conseguido trabajo aún.,"Short for ""depresión."" Casual way to say you're feeling depressed. Common in teen/young adult conversations. Informal abbreviation of 'depresión'.",2003,Casual,Phrase,Spanish
Estar hasta el full,To be full / overwhelmed,Emotion,Negative,Twitter,20s-40s,"Estoy hasta el full de trabajo, no tengo tiempo para nada.","Means being overwhelmed, full (physically or emotionally), or fed up. Influenced by English and Spanglish use. Casual expression.",2013,Casual/Vulgar,Phrase,Spanish
No hay pedo,No problem,Conversational,Positive/Negative,null,All,"No hay pedo, todo va a estar bien.","Relaxed way to say ""no problem."" Often used to reassure or forgive casually. Common among friends. Very informal, possibly vulgar.",1993,Casual/Vulgar,Phrase,Spanish
Me rayé,I got lucky / I scored,Positive Experiences,Positive,Messenger,20s-30s,"¡Me invitaron al concierto, me rayé!","From ""rayarse,"" slang meaning to get something great or lucky. Often used when receiving an unexpected treat or win. Used when things go unexpectedly well.",2005,Casual,Phrase,Spanish
Está del uno,It’s awesome,Positive Experiences,Positive,null,10s-30s,"¡Este lugar está del uno, qué chido!","Slang for something being really good (like rating it a ""1"" as best). Not as common, but known in certain regions. Slang, especially in central Mexico.",2007,Casual/Vulgar,Phrase,Spanish
Qué perra,That’s fierce or amazing,Beauty / Social (context-dependent),Positive,Instagram,20s-30s,"¡Qué perra está esa canción, no puedo dejar de escucharla!","Perra used to mean bold, fierce, impressive (can be admiring or judgmental depending on tone). Influenced by fashion/media/lgbtq+ slang. Popular among LGBTQ+ communities.",2014,Casual/Vulgar,Phrase,Spanish
Estoy bien prendido,I’m excited / pumped,Emotion,Positive,null,10s-30s,Estoy bien prendido por la fiesta que va a haber este fin de semana.,"From ""prender"" (to light up). Means being hyped, excited, or turned on (context-dependent). Used in parties or when very enthusiastic. Can be intense energy or emotion.",2006,Casual,Phrase,Spanish
Voy a hacer changuitos,I’m crossing my fingers,Conversational,Positive,null,All,Voy a hacer changuitos para que me salga todo bien en el examen.,"Refers to crossing fingers for luck. ""Changuitos"" = little monkeys. Used playfully, especially among children and women. Common for wishing luck.",1966,Casual/Polite,Phrase,Spanish
Está de lujo,It’s luxurious or top-notch,Positive Experiences,Positive,null,All,"¡Está de lujo este lugar, me encanta!","Means something is luxurious, excellent. Influenced by marketing language, adopted into casual speech. Common across Mexico.",2008,Casual,Phrase,Spanish
Se me fue el avión,I spaced out,Negative Experiences,Negative,null,All,"¡Se me fue el avión y no vi la hora, ya me tengo que ir!","Means to forget something suddenly, like your train of thought. ""Avión"" = plane; metaphor for zoning out. Informal way to express losing focus.",2005,Casual,Phrase,Spanish
Ando bien clavado,I’m very into something,Emotion,Positive,null,10s-30s,"Ando bien clavado viendo esta serie, no puedo parar.","Clavado = obsessed or deeply into something/someone. Common in love contexts, hobbies, or interests. Romantic or hobby context.",2007,Casual,Phrase,Spanish
Es un amor,He/she is lovely,Relationships,Positive,null,All,"¡Es un amor mi perrito, siempre me hace compañía!","Used to describe someone as very sweet, kind, or lovable. Common in romantic or affectionate contexts. Common compliment.",1994,Casual/Polite,Phrase,Spanish
Estoy al cien,I’m doing great,Positive Experiences,Positive,Instagram,10s-30s,"Estoy al cien, ya listo para lo que venga.","Slang for being 100% ready, motivated, or feeling great. Influenced by hip hop and reggaetón culture. Common in northern Mexico.",2016,Casual,Phrase,Spanish
No doy una,I keep failing,Negative Experiences,Negative,null,10s-40s,"¡No doy una, siempre me equivoco!","Means ""I can't get anything right."" Used in frustrating situations or when feeling useless. Used when things go repeatedly wrong.",2003,Casual,Phrase,Spanish
Me siento como trapo,I feel terrible,Emotion,Negative,null,30s-50s,Me siento como trapo después de la carrera.,"Literally ""I feel like a rag."" Means you feel exhausted, mistreated, or emotionally drained. Common expression of low energy.",2006,Casual,Phrase,Spanish
Ni fu ni fa,"So-so, not good nor bad",Emotion,Neutral,null,All,"La película estuvo ni fu ni fa, no me convenció.","Used to say ""meh"" or express indifference. Comes from Spanish expressions mimicking disinterest. Common neutral evaluation.",1985,Casual,Phrase,Spanish
Estoy bien friqueado,I’m freaking out,Emotion,Negative,Messenger,10s-30s,Estoy bien friqueado por la película de terror que vi.,"Spanglish from ""freaked out."" Used to express panic or nervousness. Spread via media and youth speech. Borrowed from English, adapted form.",2007,Casual,Phrase,Spanish
Me dio cringe,It gave me secondhand embarrassment,Humor and Exaggerated,Negative,Twitter,10s-30s,¡Me dio cringe cuando vi el video de esa persona!,"Borrowed from English internet slang ""cringe."" Adopted into Spanish to describe second-hand embarrassment. Borrowed but fully integrated.",2014,Casual,Phrase,Spanish
Es un fail,It’s a failure,Humor and Exaggerated,Negative,Twitch,10s-30s,"¡Ese examen fue un fail total, no sé qué me pasó!","Borrowed from English internet slang. Used to describe mistakes or flops. Became popular with meme culture. Borrowed from English, popular online.",2014,Casual,Phrase,Spanish
Está de pelos,It’s really cool,Positive Experiences,Positive,null,All,"¡Esa fiesta estuvo de pelos, lo mejor de todo!","Means something is really cool or awesome. Origin unclear but widespread in informal speech. Older slang, still in use.",1998,Casual,Phrase,Spanish
No es para tanto,It’s not that bad,Conversational,Neutral,null,All,"No es para tanto, no te pongas tan dramático.","Means ""it's not that big a deal."" Often used to minimize or calm a situation. Common across generations. Used to downplay a situation.",1986,Casual,Phrase,Spanish
Me quedé en shock,I was shocked,Emotion,Negative,null,All,¡Me quedé en shock cuando me dijeron que me habían aceptado!,"Borrowed from English ""in shock."" Became popular in the 2000s via media, especially reality shows and dramas. Common emotional response.",2006,Casual,Phrase,Spanish
Ternurita,It was touching or cute,Emotion,Positive,null,All,Me dio ternura ver a ese perrito tan chiquito.,"Diminutive of ""ternura"" (tenderness). Used sarcastically or genuinely to describe something/someone as sweet or pathetic. Gentle emotional reaction.",2003,Casual,Phrase,Spanish
Estoy chill,I’m relaxed,Emotion,Positive,Instagram,10s-30s,"Estoy chill, no pasa nada, todo está bien.","Spanglish from English ""chill."" Gained popularity in online culture and among Gen Z. Borrowed but used informally.",2022,Casual,Phrase,Spanish
Me dio oso ajeno,Secondhand embarrassment,Emotion,Negative,null,10s-30s,¡Me dio oso ajeno ver ese video viral tan incómodo!,"Expansion of ""me dio oso"" (I was embarrassed). ""Ajeno"" = someone else's shame. Influenced by meme culture and social situations. Variant of ""qué oso.""",2015,Casual,Phrase,Spanish
Estoy en modo zen,I’m super chill,Emotion,Positive,Instagram,10s-30s,"Estoy en modo zen, no quiero que nada me estresé hoy.","Spanglish-esque phrase meaning you're in a calm, peaceful, or indifferent state. Popularized by wellness trends and internet language. Borrowed but colloquial.",2023,Casual,Phrase,Spanish
Le metí corazón,I put my heart into it,Positive Experiences,Positive,Instagram,All,"Le metí corazón al proyecto, de verdad me esforcé mucho.","Means ""I put my heart into it."" Often used in motivational or romantic contexts. Also influenced by sports/music. Used in effort and passion contexts.",2016,Casual,Phrase,Spanish
Qué coraje,Such rage!,Emotion,Negative,null,All,¡Qué coraje me da que siempre lleguen tarde!,Coraje in Mexican Spanish often means anger or frustration. Common in adult speech to express strong irritation. Often used in frustrating situations.,1983,Casual,Phrase,Spanish
Es una fiera,He/she is a beast (talented),Beauty / Social,Positive,null,All,"Es una fiera jugando al fútbol, nadie puede con él.","Used to describe someone fierce, strong, or brave — especially women or athletes. Literal = wild beast. Compliment for skills.",1996,Casual,Phrase,Spanish
Me dio amsiedad,It gave me anxiety,Negative Experiences,Negative,Twitter,10s-30s,¡Me dio amsiedad ver que no llegaba a tiempo!,"Playful misspelling of ""ansiedad"" (anxiety). A meme term born on social media. Emotion-focused / Misspelling.",2023,Casual,Phrase,Spanish
Le echo porras,I cheer them on,Positive Experiences,Positive,null,All,Le echo porras a mi amigo para que gane en el torneo.,"From cheerleading culture; ""porras"" = cheers. Means to support or encourage someone verbally. Common in family and friend contexts. Supportive expression.",1987,Casual,Phrase,Spanish
Estoy en mi trip,I’m in my own world,Emotion,Neutral,Instagram,10s-30s,Estoy en mi trip escuchando música todo el día.,"From Spanglish ""trip"" (personal experience/thoughts). Popular in urban slang and among youth; implies being deep in one's thoughts. Personal mood reference.",2015,Casual,Phrase,Spanish
Me partió el alma,It broke my heart,Emotion,Negative,null,All,¡Me partió el alma ver a mi perro triste!,"Literal: ""It broke my soul."" Used to express deep sadness or emotional impact. Often used dramatically or sincerely. Used for emotional situations.",1997,Casual,Phrase,Spanish
Estoy en modo ermitaño,I don’t want to socialize,Emotion,Neutral,null,10s-30s,"Estoy en modo ermitaño, sólo quiero estar en mi casa.","Hermit mode. Internet-influenced slang, especially common post-pandemic. Refers to isolation or anti-social mood. Used humorously.",2023,Casual,Phrase,Spanish
Estoy en crisis,I’m in crisis,Emotion,Negative,null,All,Estoy en crisis por el montón de tareas que tengo que entregar.,Became more casual/common with meme culture; used humorously or seriously to express emotional overwhelm. Humorous exaggeration of stress.,2014,Casual,Phrase,Spanish
Está del asco,It’s disgusting,Negative Experiences,Negative,null,All,"¡Esa comida está del asco, no la voy a comer!","Means ""it's disgusting/horrible."" Strong informal expression of dislike. Strong negative reaction.",2006,Casual/Vulgar,Phrase,Spanish
Me estoy derritiendo,I’m melting (hot weather),Negative Experiences,Negative,null,All,¡Me estoy derritiendo con este calor!,Used literally (due to heat) or metaphorically (extreme cuteness or emotion). Common in youth speech. Often used in summer.,2007,Casual,Phrase,Spanish
Estoy en la cuerda floja,I’m hanging by a thread,Negative Experiences,Negative,null,30s-50s,"Estoy en la cuerda floja con este trabajo, necesito entregarlo pronto.","On a tightrope. Refers to being in a risky or unstable situation. Figurative, often used in economic or emotional contexts. Metaphoric expression.",1988,Casual,Phrase,Spanish
Me llenó el corazón,It filled my heart,Relationships,Positive,null,All,Ver a mis amigos me llenó el corazón de felicidad.,It filled my heart. Romantic or sentimental phrase often used to express emotional satisfaction. Sentimental tone.,2008,Casual/Polite,Phrase,Spanish
Me siento invisible,I feel invisible,Emotion,Negative,null,10s-20s,Me siento invisible cuando nadie me presta atención.,Became popular as people talked more openly about mental health and social neglect. Used for emotional vulnerability.,2015,Casual,Phrase,Spanish
Estoy de malas,I’m in a bad mood,Negative Experiences,Negative,null,All,"¡Hoy estoy de malas, todo me molesta!","Means ""I'm in a bad mood."" Widely used across age groups. Simple emotional state.",1996,Casual,Phrase,Spanish
Estoy de buenas,I’m in a good mood,Positive Experiences,Positive,null,All,"¡Hoy estoy de buenas, todo me sale bien!","Opposite of ""de malas""; means to be in a good mood. Widely used as well. Positive counterpart.",1996,Casual,Phrase,Spanish
Me siento raro,I feel weird,Emotion,Neutral,null,All,"Me siento raro con todo este cambio, no sé qué hacer.",Used when experiencing emotional or physical discomfort that's hard to define. Common in youth speech. Emotionally vague.,2007,Casual,Phrase,Spanish
Estoy chillando,I’m crying,Positive Experiences,Positive,null,All,¡Estoy chillando de la emoción por el concierto!,"Chillar = to cry. Informal, often used when crying out of frustration, sadness, or even laughter. Colloquial for crying.",2004,Casual,Phrase,Spanish
Morra,"Girl, young woman",Relationships,Neutral,null,10s-20s,Esa morra siempre llega tarde.,"Slang for ""girl."" Commonly used in Mexico and Central America. Used more in Northern and Central Mexico.",1986,Casual,Word,Spanish
Crushazo,Big crush (strong infatuation),Relationships,Positive,Instagram,10s-20s,Le tengo un crushazo con ese chico.,"Combination of ""crush"" and the suffix ""-azo"" to indicate a big crush. Popular among youth. Mix of English ""crush"" + Spanish ""-azo.""",2015,Casual,Word,Spanish
Fifi,Snobbish or upper-class person,Social,Negative,null,20s-40s,Esos chicos fifi no entienden cómo vive la gente común.,"Pejorative term for someone perceived as pretentious or upper-class, popularized in politics. Used ironically; political connotation.",2008,Casual,Word,Spanish
Bajoneado,Feeling emotionally down,Negative Experiences,Negative,Messenger,10s-20s,Estoy bajoneado porque me rechazaron.,"From ""bajar"" (to lower), refers to feeling down or depressed. Common in everyday conversations. From ""bajón"" + ""-eado.""",2006,Casual,Word,Spanish
Apapacho,A warm hug or comfort gesture,Positive Experiences,Positive,null,All,"Después de un mal día, mi mamá me dio un apapacho.","From Nahuatl ""apapachoa,"" meaning ""to embrace"" or ""to pamper."" Widely used for showing affection. From Nahuatl ""papachoa""; affectionate Word.",1945,Casual/Polite,Word,Spanish
Chambear,To work,Economy,Neutral,null,20s-30s,Tengo que chambear el fin de semana.,"From ""chamba"" (work), means ""to work."" Common in informal settings and music. Informal; used across Mexico.",1996,Casual,Word,Spanish
Guácala,"Gross, disgusting",Negative Experiences,Negative,null,10s-20s,¡Guácala! Eso huele horrible.,Expression of disgust. Widely used in Mexican Spanish. Expressive interjection.,1984,Casual,Word,Spanish
Ñero,Close friend or homie,Social,Negative,Messenger,10s-20s,"Ese es mi ñero, siempre me cuida.","Slang for ""bro"" or ""dude,"" often used in urban settings in Mexico. Used in lower-income/urban groups.",2003,Casual,Word,Spanish
Neta,Seriously? For real?,Conversational,Neutral,null,10s-20s,¿Neta vas a venir a la fiesta?,"Means ""truth."" Often used to emphasize sincerity in conversations. Also used for ""truth"" or ""the real deal.""",1992,Casual,Word,Spanish
Perreo,Sensual dancing (reggaetón),Hobbies,Positive,YouTube,10s-20s,¡Vamos a bailar perreo toda la noche!,Refers to a style of dance associated with reggaeton music. Popular in Latin clubs. Related to urban music culture.,2004,Casual,Word,Spanish
Bato,"Guy, dude",Social,Neutral,null,10s-20s,Ese bato es muy tranquilo.,"Slang for ""guy"" or ""dude."" Common in Mexican Spanish. Northern Mexican slang.",1989,Casual,Word,Spanish
Sobres,Let’s go! (encouragement),Conversational,Positive,Messenger,10s-20s,"¡Sobres, vamos a la playa!","Means ""let's go"" or ""let's do it."" Used to express readiness or agreement. Interjection; often shouted.",2007,Casual,Word,Spanish
Chido,"Cool, nice, good",Positive Experiences,Positive,null,10s-20s,¡Esa fiesta estuvo bien chida!,"Originates from Mexican Spanish, meaning ""cool"" or ""nice."" Became popular in pop culture and music. Used across Mexico; informal slang.",1972,Casual,Word,Spanish
Tripiado,Feeling strange/weird or high,Negative Experiences,Neutral,Messenger,20s-30s,"Me siento bien tripiado, no sé qué hacer.","From ""trip,"" meaning to be confused or in a strange mood. Used in youth slang. From ""trip"" in English + Spanish suffix.",2006,Casual,Word,Spanish
Pedón,Big drinking session,Social,Neutral,null,20s-30s,El viernes me voy a echar un buen pedón.,"Large party or getting very drunk. Common in Mexican youth culture. From ""pedo"" + augmentative ""-ón.""",1994,Casual/Vulgar,Word,Spanish
Chale,Oh no! Damn!,Resignation,Negative,null,10s-40s,"¡Chale, no me digas eso!","Expression of disappointment or resignation. Widely used in everyday conversation. Interjection, common in Mexico City.",1992,Casual/Vulgar,Word,Spanish
Fresa,Snobby or preppy person,Social,Negative,null,10s-20s,"Esos chicos son bien fresas, no entienden nada.",Pejorative term for someone perceived as snobby or upper-class. Common in Mexican slang. Class-related stereotype.,1985,Casual,Word,Spanish
Naco,Tacky or low-class,Social,Negative,null,20s-30s,No quiero estar cerca de esa gente naca.,Pejorative term for someone perceived as vulgar or lower-class. Common in Mexican slang. Controversial; classist term.,1983,Casual/Vulgar,Word,Spanish
Broder,"Friend, buddy",Social,Neutral,Messenger,10s-20s,"¿Qué onda, broder?","From ""brother,"" used to refer to a close friend. Common in youth slang. From English ""brother"" + Spanishized.",2004,Casual,Word,Spanish
Vieja,"Girl, girlfriend (slang)",Relationships,Neutral,null,20s-30s,Esa vieja es súper divertida.,"Slang for ""woman"" or ""girlfriend."" Common in informal contexts. Low-register; urban slang.",1993,Casual,Word,Spanish
Gacho,"Bad, mean, unfair",Negative Experiences,Negative,null,10s-40s,El clima hoy está bien gacho.,"Refers to something bad or unpleasant. Common in Mexican Spanish. Also means ""ugly"" or ""harsh.""",1987,Casual,Word,Spanish
Chingón,"Awesome, badass",Positive Experiences,Positive,null,20s-30s,¡Eso estuvo bien chingón!,"Means ""awesome"" or ""badass."" Widely used in Mexican Spanish. Strong, informal; masculine-coded.",1994,Casual/Vulgar,Word,Spanish
Cotorreo,"Hangout, fun time",Social,Positive,YouTube,20s-30s,Nos vamos a echar un buen cotorreo este fin de semana.,"Means ""chat"" or ""hangout."" Common in informal conversations. Used for informal gatherings.",2005,Casual,Word,Spanish
Rolar,To share or pass (e.g. music),Hobbies,Neutral,Messenger,10s-20s,¿Me rolas la canción que estás escuchando?,"Means ""to share"" or ""to pass around,"" often used with music or substances. Common in music/slang culture.",2006,Casual,Word,Spanish
Tronado,Broken up or fired,Negative Experiences,Negative,Messenger,20s-30s,"Estoy bien tronado, necesito descansar.","Means ""broken"" or ""burnt out."" Used in various contexts. From ""tronar"" (to burst/break).",2007,Casual,Word,Spanish
Saoko,"Style, flavor, flow",Positive Experiences,Positive,TikTok,10s-20s,¡Esa canción tiene mucho saoko!,"Popularized by music, refers to style or flavor. Afro-Caribbean origin; popularized by music.",2023,Casual,Word,Spanish
Chamba,Job,Economy,Neutral,null,All,Estoy buscando chamba.,"Slang for ""work"" or ""job."" Common in informal contexts. Standard slang.",1983,Casual,Word,Spanish
Simón,Yes (slang),Conversational,Positive,null,10s-20s,"Simón, voy para allá.","Means ""yes"" or ""of course."" Informal agreement in Mexican Spanish. Mexicanized form of ""sí.""",1986,Casual,Word,Spanish
Mame,"Hype, obsession, trend",Humor and Exaggerated,Neutral,Twitter,20s-30s,"¡Qué mame, ya no puedo con esto!","Refers to excessive or absurd behavior. Popular in internet culture. From ""mamar""; often used online.",2015,Casual/Vulgar,Word,Spanish
Bato-loco,Crazy dude,Social,Positive,null,20s-30s,¡Ese bato-loco está haciendo locuras!,"Combination of ""bato"" (guy) and ""loco"" (crazy), used in urban slang. Compound of ""bato"" + ""loco.""",1997,Casual,Word,Spanish
Chingadera,"Thingy, crap",Negative Experiences,Negative,null,30s-50s,¿Quién dejó esta chingadera aquí?,Refers to something useless or troublesome. Common in Mexican Spanish. Offensive but versatile.,1995,Casual/Vulgar,Word,Spanish
